category,star_rating,helpfulness,gan_quality,text
Books,4,0.198844329,1,"Headline: a great book for beginners Body: this book is an excellent book, but it's not the only one that can be found in any of the above books. there are many different types of books to choose from."
Books,4,0.167507932,1,"Headline: a great book for beginners Body: this book is an excellent book, but it's not the only one that can be found in any of the above books. there are many different types of books to choose from."
Books,5,1.397886872,1,"Headline: the best book i've ever read. Body: this is a great book for anyone who wants to learn more about how to do it. if you have any questions, please contact us today."
Books,5,-0.334059626,1,"Headline: the best book i've ever read. Body: this is a great book for anyone who wants to learn more about how to do it. if you have any questions, please contact us today."
Camera,1,-0.930710971,1,Headline: not worth the money Body: i bought this camera for my sony dslr and it was very hard to find out how to use it.
Camera,1,0.659160256,1,Headline: not worth the money Body: i bought this camera for my sony dslr and it was very hard to find out how to use it.
Camera,2,1.004990935,1,"Headline: not as advertised Body: i bought this camera for my sony dslr, and it was very nice to see the pictures on the other side of the page. however, if you are looking for a new one, you can get some photos from the same site."
Camera,2,0.186274186,1,"Headline: not as advertised Body: i bought this camera for my sony dslr, and it was very nice to see the picture. if you are looking for a new one, then you can use it with your own lens."
Camera,3,-0.496262461,1,"Headline: great camera Body: i bought this camera for my sony dslr, and it's very nice to have one of them. the only problem is that the camera does not work properly."
Camera,3,-0.435523659,1,"Headline: not as good as i expected Body: this is a great camera for the price. it's easy to use, but you can't get anything wrong with it."
Camera,4,2.01929903,1,"Headline: great camera Body: i bought this camera for my sony dslr, and it's very easy to use. the quality of the camera is excellent."
Camera,4,-0.752352655,1,"Headline: great camera Body: i bought this camera for my sony dslr, and it's very easy to use. the quality of the camera is excellent."
Camera,5,1.334281802,1,"Headline: great camera Body: i bought this camera for my sony dslr, and it's easy to use. the quality of the camera is very good."
Camera,5,0.60717541,1,"Headline: great camera Body: i bought this camera for my sony dslr, and it's easy to use. the quality of the camera is very good."
Digital_Video_Games,1,1.926341772,1,"Headline: don't waste your money Body: i bought this game for my son, and it was not worth the money."
Digital_Video_Games,1,-0.69602108,1,"Headline: not worth the money Body: i bought this game for my son, and it was very hard to play."
Digital_Video_Games,2,-1.056377292,1,"Headline: not worth the money Body: i bought this game for my wife and she was very happy with it. her husband's story is pretty good, but they aren't as good as the original version of the game."
Digital_Video_Games,2,-1.982076168,1,"Headline: not worth the money Body: i bought this game for my wife and she was very happy with it. her husband's work is pretty good, but they aren't as good as others."
Digital_Video_Games,3,-0.595759094,0,"Headline: great game Body: i bought this game for my wife and she was very happy with it. the game is pretty good, but there is no way to do that."
Digital_Video_Games,3,1.804967046,1,"Headline: great game Body: i bought this game for my wife and she was very happy with it. the game is pretty good, but they are not as good as the original version."
Digital_Video_Games,4,-1.322363019,1,"Headline: great game Body: i bought this game for my son, and it's really fun to play."
Digital_Video_Games,4,-0.644791663,1.39E-19,"Headline: great game Body: i bought this game for my son, and it's really fun to play."
Digital_Video_Games,5,-0.400699288,1,"Headline: great game! Body: i bought this game for my son, and it's very fun to play. he played the game with his wife, she was so excited about it."
Digital_Video_Games,5,1.146081567,1,"Headline: great game! Body: i bought this game for my son, and it's very fun to play. he played the game with his wife and a little bit of humor."
Electronics,1,0.031371932,1,Headline: not worth the money Body: i bought this for my sony hdmi and it worked great. he was very disappointed with the quality of the product.
Electronics,1,-1.819947124,1,"Headline: not worth the money Body: i bought this for my sony hdmi, and it's very expensive. but when he was in charge of his phone, a lot of people were going to buy them."
Electronics,2,-1.405355453,1,"Headline: not as good as i expected Body: the sound quality is very good, but it's too bad for me."
Electronics,2,0.887619734,1,"Headline: not as advertised Body: i bought this product for my wife and she was very impressed with the quality of the product. however, it isn't that good at all."
Electronics,3,-0.923089206,1,"Headline: i'm not sure what to expect Body: this is a good product, but the sound quality is very good. it's great for my son and his wife."
Electronics,3,1.999690652,1,"Headline: i'm not sure how to use it. Body: this is a good product for the price, but if you are looking for something that can be used in your home or office, then you have to buy one of these headphones."
Electronics,4,0.674384356,9.22E-16,"Headline: great sound, but a little too small Body: i bought this for my sony hdmi and it's very good. the quality of the product is excellent."
Electronics,4,1.415445447,1,"Headline: great sound, but a little too small Body: i bought this for my wife and she was very happy with the quality of the product. it's really nice to hear from her friends who have been using them for years now."
Electronics,5,0.78069979,1,"Headline: great product! Body: i bought this for my sony hdmi, and it's very easy to use. the sound quality is excellent."
Electronics,5,0.595541716,1,"Headline: great product! Body: i bought this for my sony hdmi, and it's very easy to use. the sound quality is excellent."
